City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Mackenzie,CA,55.2999,-123.1698,15.8,67,1,3.44,clear sky
322,Geraldton,AU,-28.7667,114.6,84.2,58,31,17.27,scattered clouds
323,Dawlatabad,AF,36.4141,64.9053,51.66,46,48,9.22,scattered clouds
324,Port Lincoln,AU,-34.7333,135.8667,71.4,63,89,8.32,overcast clouds
325,Lodwar,KE,3.1191,35.5973,85.05,33,4,7.02,clear sky
326,Kathu,TH,7.9178,98.3332,89.6,48,20,10.36,few clouds
327,Bairiki,KI,1.3292,172.9752,82.4,74,75,6.91,broken clouds
328,Terenos,BR,-20.4422,-54.8603,71.6,68,0,6.91,clear sky
329,Hyeres,FR,43.1167,6.1167,48.99,87,0,3.44,clear sky
330,Udimskiy,RU,61.1417,45.9144,7.21,92,88,10.87,light snow
331,Namatanai,PG,-3.6667,152.4333,82.94,72,98,4.21,moderate rain
332,Lubbock,US,33.6001,-101.8338,60.8,72,1,18.41,clear sky
333,Ingham,US,42.6,-84.3833,63.0,63,90,8.05,overcast clouds
334,Xiamen,CN,24.4798,118.0819,71.6,60,0,4.47,clear sky
335,Grindavik,IS,63.8424,-22.4338,26.6,74,75,42.57,snow
336,Villa Bruzual,VE,9.3328,-69.1208,74.77,68,100,7.52,overcast clouds
337,Letnyaya Stavka,RU,45.4306,43.4472,26.17,78,100,13.24,light snow
338,Buin,CL,-33.7333,-70.75,66.99,63,20,2.3,few clouds
339,Sai Buri,TH,6.7013,101.6168,89.6,58,20,11.5,few clouds
340,Boende,CD,-0.2167,20.8667,70.99,96,77,1.1,light rain
341,Bengkulu,ID,-3.8004,102.2655,85.1,66,19,8.77,few clouds
342,Shymkent,KZ,42.3,69.6,41.0,81,75,8.93,broken clouds
343,Honningsvag,NO,70.9821,25.9704,17.6,73,20,27.63,snow
344,Chapais,CA,49.7834,-74.8492,37.4,93,90,11.5,mist
345,Urk,NL,52.6625,5.6014,48.0,87,100,10.0,overcast clouds
346,Soe,ID,-9.8607,124.284,76.95,87,96,1.57,overcast clouds
347,Kahului,US,20.8947,-156.47,73.4,88,20,5.75,light rain
348,Sur,OM,22.5667,59.5289,86.05,29,0,0.18,clear sky
